Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/15/2025 9:45:00 AM		2.98200011253357	55.3276290893555	1478.04895019531	21	21	40	89.4000015258789	95	199.440197646618	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
2	10/15/2025 9:45:10 AM		3.03900003433228	56.3898735046387	1478.86206054688	21	21	40	89.4000015258789	95	203.25243473053	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
3	10/15/2025 9:45:20 AM		3.05200004577637	56.6306457519531	1478.6650390625	21	21	40	89.4000015258789	94	204.121886193752	29	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
4	10/15/2025 9:45:30 AM		3.04500007629395	56.4965515136719	1479.00805664062	21	21	40	89.4000015258789	94	203.653720021248	30	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
5	10/15/2025 9:45:40 AM		3.0550000667572	56.6875	1479.18200683594	21	21	40	89.4000015258789	95	204.322528839111	31	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
6	10/15/2025 9:45:50 AM		3.0550000667572	56.6855621337891	1479.0810546875	21	21	40	89.4000015258789	96	204.322528839111	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
7	10/15/2025 9:46:00 AM		3.04900002479553	56.5735244750977	1479.08801269531	21	21	40	89.4000015258789	93	203.921243548393	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
8	10/15/2025 9:46:10 AM		3.06299996376038	56.8382377624512	1478.66394042969	21	21	40	89.4000015258789	95	204.857589304447	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
9	10/15/2025 9:46:20 AM		3.06100010871887	56.8078002929688	1478.38403320312	21	21	40	89.4000015258789	93	204.723827540874	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
10	10/15/2025 9:46:30 AM		3.05299997329712	56.6571159362793	1478.42199707031	21	21	40	89.4000015258789	96	204.188767075539	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
11	10/15/2025 9:46:40 AM		3.05299997329712	56.6504554748535	1478.26599121094	21	21	40	89.4000015258789	94	204.188767075539	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
12	10/15/2025 9:46:50 AM		3.06200003623962	56.8192558288574	1478.45495605469	21	21	40	89.4000015258789	95	204.790708422661	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
13	10/15/2025 9:47:00 AM		3.06599998474121	56.8930473327637	1478.69995117188	21	21	40	89.4000015258789	94	205.058231949806	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
14	10/15/2025 9:47:10 AM		3.05900001525879	56.7542762756348	1478.45300292969	21	21	40	89.4000015258789	95	204.590065777302	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
15	10/15/2025 9:47:20 AM		3.05999994277954	56.7833251953125	1478.50500488281	21	21	40	89.4000015258789	93	204.656946659088	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
16	10/15/2025 9:47:30 AM		3.06500005722046	56.8670234680176	1478.31799316406	21	21	40	89.4000015258789	95	204.99135106802	31	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
17	10/15/2025 9:47:40 AM		3.06200003623962	56.825008392334	1478.26794433594	21	21	40	89.4000015258789	95	204.790708422661	28	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
18	10/15/2025 9:47:50 AM		3.06699991226196	56.9050331115723	1478.46203613281	21	21	40	89.4000015258789	95	205.125112831593	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
19	10/15/2025 9:48:00 AM		3.06699991226196	56.9030799865723	1478.51000976562	21	21	40	89.4000015258789	95	205.125112831593	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
20	10/15/2025 9:48:10 AM		3.07100009918213	56.9901924133301	1478.27404785156	21	21	40	89.4000015258789	94	205.392636358738	29	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
21	10/15/2025 9:48:20 AM		3.07999992370605	57.1525573730469	1478.47705078125	21	21	40	89.4000015258789	96	205.994564294815	30	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
22	10/15/2025 9:48:30 AM		3.06599998474121	56.8873405456543	1478.61596679688	21	21	40	89.4000015258789	94	205.058231949806	28	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
