Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/13/2025 9:00:00 AM		3.09200000762939	57.3582000732422	1454.78796386719	22	22	38	92.379997253418	48	206.743369996548	17	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
2	10/13/2025 9:00:10 AM		3.06699991226196	56.8920440673828	1454.46594238281	21	21	38	92.379997253418	27	205.071763694286	18	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
3	10/13/2025 9:00:20 AM		3.05299997329712	56.6389999389648	1455.03698730469	21	21	38	92.379997253418	54	204.135672748089	17	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
4	10/13/2025 9:00:30 AM		NaN	NaN	∞	21	21	8	137.080001831055	29	NaN	16	6	3	254	2	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
5	10/13/2025 9:00:40 AM		3.15300011634827	58.4865798950195	1497.41101074219	21	21	53	70.0299987792969	97	210.822071135044	28	26	2	101	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
6	10/13/2025 9:00:50 AM		3.17000007629395	58.8027420043945	1487.37097167969	21	21	50	74.5	87	211.95875108242	29	35	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
7	10/13/2025 9:01:00 AM		3.23399996757507	60.0029182434082	1485.46496582031	21	21	50	74.5	85	216.238041222095	28	37	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
8	10/13/2025 9:01:10 AM		3.23000001907349	59.9267578125	1485.43103027344	21	21	50	74.5	89	215.970584750175	29	38	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
9	10/13/2025 9:01:20 AM		3.23099994659424	59.9360160827637	1485.36804199219	21	21	50	74.5	88	216.037452220917	29	39	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
10	10/13/2025 9:01:30 AM		3.20300006866455	59.4194717407227	1485.30603027344	21	21	50	74.5	86	214.165270328522	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
11	10/13/2025 9:01:40 AM		3.21300005912781	59.6068840026855	1485.30798339844	21	21	50	74.5	90	214.833904802799	29	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
12	10/13/2025 9:01:50 AM		3.22099995613098	59.7440490722656	1485.37194824219	21	21	50	74.5	87	215.368817746639	28	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
13	10/13/2025 9:02:00 AM		3.22699999809265	59.8608818054199	1485.41394042969	21	21	50	74.5	89	215.769995748997	28	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
14	10/13/2025 9:02:10 AM		3.23000001907349	59.9139289855957	1485.43395996094	21	21	50	74.5	90	215.970584750175	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
15	10/13/2025 9:02:20 AM		3.21700000762939	59.6696395874023	1485.40405273438	21	21	50	74.5	90	215.101361274719	28	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
16	10/13/2025 9:02:30 AM		3.21900010108948	59.717586517334	1485.35205078125	21	21	50	74.5	90	215.235082805157	29	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
17	10/13/2025 9:02:40 AM		3.22099995613098	59.7563934326172	1485.36303710938	21	21	50	74.5	90	215.368817746639	28	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
18	10/13/2025 9:02:50 AM		3.21900010108948	59.7220573425293	1485.47497558594	21	21	50	74.5	89	215.235082805157	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
19	10/13/2025 9:03:00 AM		3.2260000705719	59.8464279174805	1485.4560546875	21	21	50	74.5	89	215.703141689301	28	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
20	10/13/2025 9:03:10 AM		3.23900008201599	60.0787582397461	1485.52795410156	21	21	50	74.5	89	216.572365164757	28	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
21	10/13/2025 9:03:20 AM		3.22199988365173	59.7686882019043	1485.52502441406	21	21	50	74.5	87	215.435685217381	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
22	10/13/2025 9:03:30 AM		3.21499991416931	59.6344566345215	1485.49304199219	21	21	50	74.5	87	214.967626333237	28	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
23	10/13/2025 9:03:40 AM		3.21799993515015	59.703483581543	1485.501953125	21	21	50	74.5	88	215.168228745461	29	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
24	10/13/2025 9:03:50 AM		3.24499988555908	60.1969985961914	1485.52905273438	21	21	50	74.5	89	216.973556578159	28	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
25	10/13/2025 9:04:00 AM		3.21499991416931	59.6340713500977	1485.56994628906	21	21	50	74.5	90	214.967626333237	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
26	10/13/2025 9:04:10 AM		3.2279999256134	59.8858261108398	1485.58703613281	21	21	50	74.5	90	215.836863219738	29	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
