Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/15/2025 10:02:33 AM		1.41199994087219	45.8111228942871	1522.2919921875	21	21	70	44.7000007629395	100	165.169170498848	48	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
2	10/15/2025 10:02:43 AM		1.4190000295639	46.0482330322266	1522.20703125	21	21	68	47.6800003051758	99	165.987995266914	50	54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
3	10/15/2025 10:02:53 AM		1.49600005149841	48.5459480285645	1522.15905761719	21	21	69	46.189998626709	99	174.995094537735	50	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
4	10/15/2025 10:03:03 AM		1.48699998855591	48.270320892334	1522.02600097656	21	21	68	47.6800003051758	97	173.942314088345	50	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
5	10/15/2025 10:03:13 AM		1.43799996376038	46.6550254821777	1522.03405761719	21	21	68	47.6800003051758	99	168.210527300835	50	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
6	10/15/2025 10:03:23 AM		1.43499994277954	46.5855178833008	1521.99401855469	21	21	68	47.6800003051758	99	167.859600484371	50	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
7	10/15/2025 10:03:33 AM		1.40900003910065	45.7425193786621	1522.2919921875	21	21	69	46.189998626709	99	164.818243682384	50	54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
8	10/15/2025 10:03:43 AM		1.43099999427795	46.4406280517578	1522.36303710938	21	21	69	46.189998626709	96	167.391702532768	50	54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
9	10/15/2025 10:03:53 AM		1.42700004577637	46.300350189209	1522.40795898438	21	21	69	46.189998626709	100	166.92379117012	49	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
10	10/15/2025 10:04:03 AM		1.45799994468689	47.3154144287109	1522.35705566406	21	21	69	46.189998626709	97	170.550030469894	49	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
11	10/15/2025 10:04:13 AM		1.44599997997284	46.913459777832	1522.28503417969	21	21	70	44.7000007629395	99	169.146323204041	48	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
12	10/15/2025 10:04:23 AM		1.4210000038147	46.1171607971191	1522.21997070312	21	21	68	47.6800003051758	99	166.221937537193	49	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
13	10/15/2025 10:04:33 AM		1.41400003433228	45.8776321411133	1522.26098632812	21	21	69	46.189998626709	98	165.403112769127	50	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
