Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/13/2025 8:41:28 AM		-3.25099992752075	-60.3008422851562	1492.84301757812	23	23	48	77.4800033569336	92	-217.374734580517	28	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3374906429631
2	10/13/2025 8:41:38 AM		-3.17000007629395	-58.8110885620117	1497.76293945312	22	22	47	78.9700012207031	93	-211.95875108242	29	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
3	10/13/2025 8:41:48 AM		-3.15000009536743	-58.4363250732422	1497.43395996094	22	22	47	78.9700012207031	96	-210.62146872282	28	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
4	10/13/2025 8:41:58 AM		-3.1710000038147	-58.830940246582	1497.34399414062	22	22	47	78.9700012207031	88	-212.025618553162	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
5	10/13/2025 8:42:08 AM		-3.17899990081787	-58.9809112548828	1497.04699707031	22	22	47	78.9700012207031	93	-212.560531497002	30	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
6	10/13/2025 8:42:18 AM		-3.1710000038147	-58.8239364624023	1497.10900878906	22	22	47	78.9700012207031	89	-212.025618553162	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
7	10/13/2025 8:42:28 AM		-3.17199993133545	-58.8388061523438	1497.23999023438	22	22	47	78.9700012207031	89	-212.092486023903	30	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
8	10/13/2025 8:42:38 AM		-3.18700003623962	-59.1186561584473	1496.91003417969	22	22	47	78.9700012207031	92	-213.095444440842	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
9	10/13/2025 8:42:48 AM		-3.16400003433228	-58.6985359191895	1498.23400878906	22	22	47	78.9700012207031	90	-211.557573080063	35	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
10	10/13/2025 8:42:58 AM		-3.15700006484985	-58.5747756958008	1497.94201660156	22	22	47	78.9700012207031	89	-211.089527606964	30	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
11	10/13/2025 8:43:08 AM		-3.19000005722046	-59.1805419921875	1497.03405761719	22	22	47	78.9700012207031	92	-213.29603344202	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
12	10/13/2025 8:43:18 AM		-3.1949999332428	-59.2796478271484	1497.03100585938	22	22	47	78.9700012207031	94	-213.630357384682	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
13	10/13/2025 8:43:28 AM		-3.17799997329712	-58.9545669555664	1496.76196289062	22	22	47	78.9700012207031	94	-212.49366402626	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
14	10/13/2025 8:43:38 AM		-3.18600010871887	-59.1059341430664	1496.92297363281	22	22	47	78.9700012207031	88	-213.0285769701	30	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
15	10/13/2025 8:43:48 AM		-3.18899989128113	-59.155101776123	1497.24304199219	22	22	47	78.9700012207031	93	-213.229165971279	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
16	10/13/2025 8:43:58 AM		-3.18400001525879	-59.0673599243164	1497.32495117188	22	22	47	78.9700012207031	92	-212.894855439663	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
17	10/13/2025 8:44:08 AM		-3.19300007820129	-59.2397346496582	1497.16198730469	22	22	47	78.9700012207031	95	-213.496622443199	29	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
