Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/15/2025 9:16:55 AM		2.87400007247925	53.3238754272461	1553.56005859375	21	21	40	89.4000015258789	24	192.217008769512	24	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
2	10/15/2025 9:17:05 AM		3.07299995422363	57.0148544311523	1547.88903808594	21	21	41	87.9100036621094	27	205.526398122311	22	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
3	10/15/2025 9:17:15 AM		3.11999988555908	57.8896102905273	1548.94604492188	21	21	41	87.9100036621094	42	208.669826388359	23	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
4	10/15/2025 9:17:25 AM		3.10700011253357	57.6557998657227	1549.33996582031	21	21	41	87.9100036621094	26	207.800361514091	23	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
5	10/15/2025 9:17:35 AM		3.11100006103516	57.7325782775879	1548.27502441406	21	21	41	87.9100036621094	50	208.067885041237	22	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
6	10/15/2025 9:17:45 AM		3.11199998855591	57.747013092041	1549.2900390625	21	21	42	86.4199981689453	44	208.134765923023	21	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
7	10/15/2025 9:17:55 AM		3.09800004959106	57.4791831970215	1548.99694824219	21	21	41	87.9100036621094	25	207.198433578014	22	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
8	10/15/2025 9:18:05 AM		3.10700011253357	57.6520118713379	1544.61303710938	21	21	40	89.4000015258789	34	207.800361514091	21	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
9	10/15/2025 9:18:15 AM		3.10800004005432	57.6699066162109	1547.19799804688	21	21	40	89.4000015258789	45	207.867242395878	22	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
10	10/15/2025 9:18:25 AM		3.11899995803833	57.8842277526855	1548.93701171875	21	21	40	89.4000015258789	33	208.602945506573	22	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
11	10/15/2025 9:18:35 AM		3.10199999809265	57.5601539611816	1548.85595703125	21	21	41	87.9100036621094	31	207.46595710516	23	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
12	10/15/2025 9:18:45 AM		3.1159999370575	57.8185844421387	1548.58203125	21	21	40	89.4000015258789	27	208.402302861214	24	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
13	10/15/2025 9:18:55 AM		3.11500000953674	57.7991828918457	1550.5810546875	21	21	40	89.4000015258789	30	208.335421979427	24	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
14	10/15/2025 9:19:05 AM		3.11400008201599	57.7872314453125	1548.34594726562	21	21	41	87.9100036621094	30	208.268541097641	21	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
15	10/15/2025 9:19:15 AM		3.08100008964539	57.1798973083496	1546.30395507812	21	21	40	89.4000015258789	33	206.061445176601	22	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
16	10/15/2025 9:19:25 AM		3.10700011253357	57.6441040039062	1548.76000976562	21	21	41	87.9100036621094	29	207.800361514091	21	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
17	10/15/2025 9:19:35 AM		3.11100006103516	57.7212829589844	1549.61596679688	21	21	40	89.4000015258789	23	208.067885041237	22	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
18	10/15/2025 9:19:45 AM		3.10999989509583	57.699520111084	1548.43994140625	21	21	41	87.9100036621094	5	208.001004159451	22	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
19	10/15/2025 9:19:55 AM		3.10800004005432	57.670223236084	1549.19702148438	21	21	40	89.4000015258789	26	207.867242395878	23	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
20	10/15/2025 9:20:05 AM		3.10599994659424	57.643196105957	1549.10205078125	21	21	41	87.9100036621094	34	207.733480632305	22	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
21	10/15/2025 9:20:15 AM		3.11899995803833	57.8793869018555	1547.24304199219	21	21	42	86.4199981689453	42	208.602945506573	22	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
22	10/15/2025 9:20:25 AM		3.09299993515015	57.3951568603516	1549.01904296875	21	21	41	87.9100036621094	21	206.864029169083	22	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
23	10/15/2025 9:20:35 AM		3.09599995613098	57.444408416748	1546.63903808594	21	21	41	87.9100036621094	35	207.064671814442	24	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
24	10/15/2025 9:20:45 AM		3.10800004005432	57.6750831604004	1546.01696777344	21	21	40	89.4000015258789	22	207.867242395878	23	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
25	10/15/2025 9:20:55 AM		NaN	NaN	∞	21	21	17	123.669998168945	45	NaN	23	21	12	49	2	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
