Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/15/2025 9:02:21 AM		1.43700003623962	46.6283493041992	1528.11499023438	22	22	66	50.6599998474121	99	168.09354275465	48	46	3	27	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
2	10/15/2025 9:02:31 AM		1.24000000953674	40.2385292053223	1530.30798339844	22	22	65	52.1500015258789	99	145.049411058426	50	48	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
3	10/15/2025 9:02:41 AM		1.29200005531311	41.9440078735352	1530.17700195312	22	22	66	50.6599998474121	99	151.132124662399	50	49	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
4	10/15/2025 9:02:51 AM		1.29100000858307	41.9089851379395	1530.57104492188	22	22	66	50.6599998474121	99	151.01515352726	50	50	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
5	10/15/2025 9:03:01 AM		1.28600001335144	41.7413177490234	1530.39196777344	22	22	67	49.1699981689453	99	150.430271029472	48	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
6	10/15/2025 9:03:11 AM		1.28199994564056	41.6195640563965	1530.28002929688	22	22	67	49.1699981689453	96	149.962373077869	50	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
7	10/15/2025 9:03:21 AM		1.29999995231628	42.2051239013672	1530.06896972656	22	22	68	47.6800003051758	99	152.06793397665	49	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
8	10/15/2025 9:03:31 AM		1.30099999904633	42.2307662963867	1529.91101074219	22	22	67	49.1699981689453	99	152.18490511179	50	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
9	10/15/2025 9:03:41 AM		1.25800001621246	40.8430099487305	1529.82299804688	22	22	66	50.6599998474121	98	147.154958546162	49	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
10	10/15/2025 9:03:51 AM		1.25100004673004	40.6078758239746	1529.83703613281	22	22	68	47.6800003051758	96	146.336133778095	48	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
11	10/15/2025 9:04:01 AM		1.25399994850159	40.7100715637207	1529.76904296875	22	22	66	50.6599998474121	98	146.687060594559	49	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
12	10/15/2025 9:04:11 AM		1.26300001144409	40.9858016967773	1529.56005859375	22	22	67	49.1699981689453	98	147.739841043949	50	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
13	10/15/2025 9:04:21 AM		1.26300001144409	40.9795227050781	1529.6689453125	22	22	67	49.1699981689453	98	147.739841043949	49	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
14	10/15/2025 9:04:31 AM		1.24899995326996	40.5232582092285	1529.74096679688	22	22	67	49.1699981689453	96	146.102191507816	49	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8183853315348
