Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
39	10/15/2025 10:33:18 AM		2.70000004768372	50.0829315185547	1487.05603027344	21	22	38	92.379997253418	33	180.532689392567	17	16	4	117	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
40	10/15/2025 10:33:28 AM		2.7260000705719	50.568775177002	1486.1240234375	21	22	38	92.379997253418	25	182.271149754524	16	18	6	39	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
41	10/15/2025 10:33:38 AM		2.73099994659424	50.661190032959	1486.31298828125	21	22	38	92.379997253418	36	182.605473697186	17	19	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
42	10/15/2025 10:33:48 AM		2.73799991607666	50.7912712097168	1486.18603515625	21	22	38	92.379997253418	36	183.073519170284	18	20	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
43	10/15/2025 10:33:58 AM		2.7279999256134	50.6035919189453	1486.28198242188	21	22	38	92.379997253418	25	182.404884696007	18	20	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
44	10/15/2025 10:34:08 AM		2.74200010299683	50.8615417480469	1486.22399902344	21	22	38	92.379997253418	26	183.340975642204	17	20	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
45	10/15/2025 10:34:18 AM		2.74000000953674	50.8317909240723	1486.291015625	21	22	38	92.379997253418	40	183.207254111767	18	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
46	10/15/2025 10:34:28 AM		2.73200011253357	50.6793746948242	1486.19702148438	21	22	38	92.379997253418	25	182.672341167927	18	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
47	10/15/2025 10:34:38 AM		2.73799991607666	50.7889251708984	1486.30200195312	21	22	38	92.379997253418	35	183.073519170284	17	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
48	10/15/2025 10:34:48 AM		2.71799993515015	50.4287261962891	1486.29296875	21	22	38	92.379997253418	28	181.736250221729	18	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
49	10/15/2025 10:34:58 AM		2.7279999256134	50.6019744873047	1486.31005859375	21	22	38	92.379997253418	35	182.404884696007	19	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
50	10/15/2025 10:35:08 AM		2.73099994659424	50.6562194824219	1486.38598632812	21	22	38	92.379997253418	34	182.605473697186	17	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
51	10/15/2025 10:35:18 AM		2.73300004005432	50.7075691223145	1486.38793945312	21	22	38	92.379997253418	15	182.739208638668	19	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
52	10/15/2025 10:35:28 AM		2.72399997711182	50.5377655029297	1486.44995117188	21	22	38	92.379997253418	20	182.137428224087	18	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
53	10/15/2025 10:35:38 AM		2.7260000705719	50.5762748718262	1486.50598144531	21	22	38	92.379997253418	24	182.271149754524	18	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
54	10/15/2025 10:35:48 AM		2.72199988365173	50.4982948303223	1486.50695800781	21	22	38	92.379997253418	37	182.003693282604	17	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
